DATE,ECBASSETSW
1999-01-01,686308.000000000000
1999-02-01,685553.750000000000
1999-03-01,689701.500000000000
1999-04-01,709898.400000000000
1999-05-01,693949.000000000000
1999-06-01,697723.500000000000
1999-07-01,725721.200000000000
1999-08-01,721642.250000000000
1999-09-01,723728.000000000000
1999-10-01,727391.400000000000
1999-11-01,737370.500000000000
1999-12-01,765795.800000000000
2000-01-01,761594.000000000000
2000-02-01,757490.500000000000
2000-03-01,766085.000000000000
2000-04-01,774049.250000000000
2000-05-01,777419.750000000000
2000-06-01,781786.200000000000
2000-07-01,793018.750000000000
2000-08-01,791780.250000000000
2000-09-01,801557.400000000000
2000-10-01,817456.250000000000
2000-11-01,823814.500000000000
2000-12-01,845721.600000000000
2001-01-01,843551.250000000000
2001-02-01,837040.500000000000
2001-03-01,834115.400000000000
2001-04-01,835467.500000000000
2001-05-01,820235.250000000000
2001-06-01,832826.200000000000
2001-07-01,849816.750000000000
2001-08-01,839889.000000000000
2001-09-01,818052.500000000000
2001-10-01,800342.500000000000
2001-11-01,800464.600000000000
2001-12-01,806376.250000000000
2002-01-01,868968.250000000000
2002-02-01,795311.500000000000
2002-03-01,790442.200000000000
2002-04-01,787674.250000000000
2002-05-01,788621.000000000000
2002-06-01,786629.000000000000
2002-07-01,772471.500000000000
2002-08-01,767732.000000000000
2002-09-01,768293.000000000000
2002-10-01,782346.250000000000
2002-11-01,783123.400000000000
2002-12-01,821108.000000000000
2003-01-01,784094.200000000000
2003-02-01,783218.000000000000
2003-03-01,797457.500000000000
2003-04-01,780520.750000000000
2003-05-01,778536.600000000000
2003-06-01,796000.250000000000
2003-07-01,805963.000000000000
2003-08-01,805788.200000000000
2003-09-01,814168.000000000000
2003-10-01,812868.000000000000
2003-11-01,821453.500000000000
2003-12-01,847311.250000000000
2004-01-01,822109.600000000000
2004-02-01,817782.250000000000
2004-03-01,824918.750000000000
2004-04-01,845341.600000000000
2004-05-01,853875.500000000000
2004-06-01,875700.000000000000
2004-07-01,880721.000000000000
2004-08-01,876416.250000000000
2004-09-01,878068.000000000000
2004-10-01,880094.000000000000
2004-11-01,893306.750000000000
2004-12-01,905768.400000000000
2005-01-01,886408.250000000000
2005-02-01,902691.000000000000
2005-03-01,912849.250000000000
2005-04-01,929123.400000000000
2005-05-01,926910.000000000000
2005-06-01,946705.500000000000
2005-07-01,988616.400000000000
2005-08-01,989749.500000000000
2005-09-01,978091.000000000000
2005-10-01,994100.750000000000
2005-11-01,1003326.000000000000
2005-12-01,1026034.800000000000
2006-01-01,1044559.500000000000
2006-02-01,1041953.500000000000
2006-03-01,1055124.600000000000
2006-04-01,1076841.500000000000
2006-05-01,1078865.250000000000
2006-06-01,1095512.400000000000
2006-07-01,1118168.500000000000
2006-08-01,1111066.500000000000
2006-09-01,1109129.600000000000
2006-10-01,1116196.500000000000
2006-11-01,1118138.000000000000
2006-12-01,1140790.200000000000
2007-01-01,1145522.500000000000
2007-02-01,1137338.250000000000
2007-03-01,1144662.400000000000
2007-04-01,1168385.750000000000
2007-05-01,1171411.250000000000
2007-06-01,1186034.000000000000
2007-07-01,1196531.000000000000
2007-08-01,1206068.400000000000
2007-09-01,1236667.250000000000
2007-10-01,1257575.250000000000
2007-11-01,1271856.600000000000
2007-12-01,1403912.250000000000
2008-01-01,1321293.250000000000
2008-02-01,1336580.600000000000
2008-03-01,1367603.250000000000
2008-04-01,1390501.000000000000
2008-05-01,1416111.600000000000
2008-06-01,1438554.750000000000
2008-07-01,1433829.000000000000
2008-08-01,1446100.800000000000
2008-09-01,1469469.500000000000
2008-10-01,1920649.200000000000
2008-11-01,1973029.750000000000
2008-12-01,2038827.500000000000
2009-01-01,2018375.400000000000
2009-02-01,1851622.500000000000
2009-03-01,1823970.750000000000
2009-04-01,1832057.000000000000
2009-05-01,1778992.400000000000
2009-06-01,1797874.750000000000
2009-07-01,1879638.000000000000
2009-08-01,1814346.750000000000
