date,text,id,year
2005-01-24,At its meeting on January the Monetary Council considered the latest economic and financial developments and decided to reduce the central bank base rate by basis points from to with effect from January. After reviewing macroeconomic data released in recent months the Monetary Council judged that the favourable inflation trend which emerged towards the end of last year outperforming even earlier expectations would be likely to continue over the period ahead. The decline in inflation and nominal wages in H suggests that the risk of inflation expectations remaining persistent at a high level has diminished. Improvement in the outlook for inflation has made a case for a reduction in the Banks key policy rate. However Hungarys equilibrium position and the markets attitude to it require maintaining a cautious approach to interest rate policy. Although the investment climate worldwide continues to be favourable domestic financial markets have recently showed signs of uncertainty to which the Monetary Council will continue to pay close attention in taking its decisions. The decline in the rate of consumer price inflation continued in December. That also affected core inflation being crucial in the assessment of longerterm trends. A number of factors which monetary policy controls have contributed to the latest interest rate reduction. This is evidence that last years predictable interest rate policy and the stable exchange rate have proved successful in reining in price rises caused by the increases in indirect taxes. In the Monetary Councils view there is a possibility that inflation will return to its level in the period before the tax hikes and therefore the Council does not perceive any considerable risk of inflation rising above the and inflation targets set for end ands end respectively. Last year the primary focus of the Banks interest rate policy was to prevent the indirect increases in taxes from causing a lasting rise in inflation. Wage growth in H was slowing steadily. But Novembers data on private sector wage growth warrants caution. The recent modest increase in wages suggests that the rise in inflation expectations has not been sustained. Consequently disinflation is expected to continue this year. According to the latest data the economic upturn has continued. In particular export and output figures have reinforced the view that corporate business activity picked up towards end. Although household demand rose more slowly in than in previous years its growth rate exceeded earlier expectations. The favourable foreign trade data have slightly reduced the risks to external equilibrium however the current account deficit is estimated to have amounted to nearly per cent as a proportion of GDP. Reducing Hungarys external imbalance requires lowering the general government deficit substantially. Transitory measures played a major part in the deficit outcome. At this juncture therefore there are few signs of a fiscal consolidation programme which would be consistent with the convergence programme and would satisfy financial markets rating agencies and Hungarys European partners. The global investment climate continues to be favourable although it also carries significant risks. However due to the domestic equilibrium problems foreign demand for forintdenominated investments has recently been modest despite international investors continued robust willingness to take risks. Taking into account the above factors with the current basis point reduction in the base rate the interest rate spread has come near to a level which will require the Council to take a cautious policy approach in the future given the risks outlined above. The Minutes of the Councils meeting will be published on February. Inflation in December at was higher than the MNBs inflation target which it had set at .± in October consistent with the Governments MediumTerm Economic Policy Programme. This difference was due mainly to the increase in indirect taxes announced by the Government in mid and implemented in early. Excluding the effect of indirect tax hikes inflation would have remained in the target range. Following the announcement of tax increases the Monetary Council reassessed the inflation target and decided not to counterbalance the direct inflationary impact of the tax measures. The Councils objective with the decision was to prevent higher inflation from feeding through to inflation expectations and to ensure that the increase in prices remain temporary which it stressed regularly in its communications. Although greater certainty will be provided on the issue in the course of the year inflation and wage developments as well as surveys of inflation expectations suggest that last years excess inflation has not led to persistently high inflation expectations. At its meeting the Council also discussed the conceptual framework for the Quarterly Report on Inflation to be issued on February.,1,2005
2005-02-21,At its meeting on February the Monetary Council considered the latest economic and financial developments and decided to reduce the central bank base rate by basis points from to with effect from February. The Council is releasing a separate press statement on its decision. The minutes of the Council meeting will be published at p.m. on March. At its meeting the Council also discussed the February issue of the Quarterly Report on Inflation to be published simultaneously with the press release on todays interest rate decision.,2,2005
2005-03-29,At its meeting on March the Monetary Council considered the latest economic and financial developments and decided to reduce the central bank base rate by basis points from to with effect from March. The exchange rate has stabilised competition in several segments of the market has intensified wage inflation has slowed down on the costs side and the rate of consumption growth has moderated on the demand side. In the Councils assessment these developments have all been supportive factors for the disinflation path consistent with the announced inflation objectives and consequently they have provided an opportunity to ease monetary conditions. In recent months there has been a significant decline in prices covered by the core measure of inflation and disinflation has been underway in market services since February. These developments may influence considerably the future outlook for inflation. January wage data for the private sector are consistent with the moderation in wage growth which has started in H. But despite this slowdown wage inflation is still seen as excessively high although the upside risks to inflation from the labour market have fallen. The more benign outlook for prospective inflation relative to earlier periods has been conducive to a slowdown in the growth rate of nominal wages. In assessing the future outlook for inflation the risks posed by shortterm oil price moves must also be taken into account in addition to the fundamentally positive domestic environment. Similarly to the euro area the inflationary impact of rising oil prices on the Hungarian economy has in recent months been mitigated by the depreciation of the US dollar. However the upward risk to inflation arising from erratic oil price developments may increase this year. The latest information related to economic growth is broadly in line with the Councils assessment of economic performance in February which contained a slight slowdown in the rate of growth in. In addition to domestic and international confidence indices the January industrial output data suggest a slowdown in economic activity. January retail trade data are also consistent with the slowdown in consumption expected in. Data on exports and imports have not shown signs of a departure from last years robust trends. This is seen as a positive development in terms of growth. GDP growth in Q met earlier expectations however the pattern of this growth showed a greaterthanexpected slowdown in domestic demand. The combination of a change in the structure of income growth and an anticipated slowdown in growth may add to disinflationary effects. Global financial developments have in recent weeks had a strongerthanearlier effect on the Hungarian money and capital markets. In the very favourable international investment climate capital flows into emerging markets were extremely intense up to midMarch which was reflected in the appreciation of the related currencies the decline in yields and the significant rise in share prices. However probably because of higher longterm dollar yields the direction of global capital flows changed. As an effect of this the Hungarian money and capital markets experienced a correction. The recent global capital market developments suggest higher future risks arising from volatile capital movements which may affect the room for monetary policy to manoeuvre. In taking its decision the Monetary Council also took account of the fact that despite the improvement in inflation outturns in recent weeks the longterm risk assessment of the Hungarian economy had not improved materially as reflected in the continued high interest rate differentials implied by longterm yields. Due to the persistence of risks to economic balance the Council considers it extremely important that the recent reform of the Stability and Growth Pact and the change to the accounting treatment of payments into private pension fund schemes in particular do not lead to more relaxed fiscal policy relative to that in the Convergence Programme. The minutes of the Council meeting will be published at p.m. on April .,3,2005
2005-04-25,Having reviewed the economic and financial developments at its April meeting the Monetary Council lowered the central bank base rate by basis points from. per cent to. per cent with effect from April. Based on the macroeconomic data revealed in the past thirty days in the Monetary Councils opinion the inflation outlook remains favourable. Despite fluctuations in the CPI data and increased risk in the items beyond the control of monetary policy improvements in core inflation developments substantiate the persistence of a lowrate environment. However risks to equilibrium in the economy and the risks ensuing from sudden changes in the favourable global investment environment remain imminent. In the Councils view the current favourable developments in inflation allow a cut in the base rate however with a view to the risks increased precaution must be taken in monetary policy. Core inflation continued to slow in March which suggests persistence in the disinflation seen in the past few months. Slowdown is due to facts like a stable exchange rate sharp market competition and slowing household consumption. Favourable trend inflation developments suggest that the secondary effects of the stable exchange rate revealed through inflationary expectations are beginning to unfold. This is also shown in a slowdown in wage inflation and the inflation of market services in Q. Due however to the accelerating rise in the prices of items beyond the control of monetary policy primarily motor fuel and unprocessed food prices the overall CPI has also accelerated and the risks towards higher inflation increased. Despite this fact the Council is of the opinion that the conditions of maintaining a lowinflation environment in the long term have improved. The precondition to maintaining an environment of low inflation and stable economic factors in the long term is the management of the equilibrium problems. In the external borrowing requirement of the economy amounted to. per cent of GDP. Although in comparison to the low the rate of nondebt financing has increased the pace of external indebtedness cannot be maintained in the long term. As adaptability in the private sector is limited fiscal policy has a key role in the improvement of the external equilibrium position as it can permanently reduce the borrowing requirement of the general government. Due to the fast increase in the external indebtedness changes in the global investment priorities have a fundamental significance in the domestic money market developments. Following the midMarch decline in the global risk appetite uncertainties pertaining to future prospects have augmented. Although the international investment environment can still be considered as favourable the likelihood of further deterioration has increased and this is a potential risk to the Hungarian economy. A short version of the minutes of the meeting will be published at hours on May. The Monetary Council discussed the MNB publication Report on Financial Stability. The Council will publish a separate statement in connection with the publication of the Report.,4,2005
2005-05-23,At its meeting on May the Monetary Council considered the latest economic and financial developments and decided to reduce the central bank base rate by basis points from to with effect from May. The Council decided to lower the central bank base rate by basis points after taking account of the improved prospects for future inflation and an increase in indirect risks to the central path. The minutes of the Council meeting will be published at p.m. on June. At its meeting the Council also discussed the May issue of the Quarterly Report on Inflation. Simultaneously with publication of the Report the Council is releasing its own press statement.,5,2005
2005-06-20,At its meeting on June the Monetary Council considered the latest economic and financial developments and decided to reduce the central bank base rate by basis points from to with effect from June. In the Monetary Councils judgement inflation outlook remains favourable in the Hungarian economy and under a forwardlooking approach a low inflationary environment is expected to persist and inflation targets are expected to be achieved. A slowdown in inflation is also facilitated by labour market adjustment and more subdued growth in consumption. In the first few months of the year inflation was consistently below. Data for inflation in May confirm that the inflation of goods that can be influenced by monetary policy has become stable at a low level. The prices of tradable goods sensitive to changes in the exchange rate of the forint have been declining for months. The persistence of disinflation is substantiated by the fact that the end trend of decrease in the inflation of market services has not reversed suggesting slower growth in consumer demand. The first months of the year saw the continuation of wage adjustment in the private sector to a lower inflationary environment. The Monetary Council perceives wage adjustment as a sign of the fact that the results of disinflation are here to stay and that they have been incorporated in expectations. Although in the short run the prices of goods especially those of unprocessed food which monetary policy can influence only to a lesser degree pose a higher inflation risk than expected earlier this leaves the mediumterm trend in consumer prices unaffected and thus as regards the to month time horizon the most important one from a monetary policy perspective it does not render the attainment of the inflation target set for end difficult. Detailed GDP data for Q also confirm that the slowdown in inflation over the past year was attributable predominantly to slower expansion in household consumption which remained below GDP growth in both and Q. Households tailor their consumption expenditure to a path that is considerably lower than earlier and is consistent with a slowdown in income growth their rising indebtedness and higher uncertainty surrounding their prospects. Global financial developments are likely to remain important factors in shaping the exchange rate of the forint and yields. Global willingness to take risks and associated demand for forintdenominated assets have been rather volatile over the past few months. In a longerterm comparison however they continue to provide a benign environment. Possible gloomier investor sentiment may indirectly also carry inflation risks. Economic policy commitment to mitigate domestic equilibrium risks and especially the fulfilment of what is laid down in the Convergence Programme may play a key role in reducing such risks. In the Monetary Councils judgement favourable inflation developments allow for the possibility that the base rate can be lowered by basis points. The abridged minutes of the meeting are scheduled to be published at hrs on July .,6,2005
2005-07-18,At its meeting on July the Monetary Council considered the latest economic and financial developments and decided to reduce the central bank base rate by basis points from to with effect from July. Reflecting longerterm inflation trends core inflation has decreased over the past period. It stood at in Q and at in June. Low core inflation is attributable in a large part to a fall in the prices of tradable goods. Decrease has also been discernible in the prices of nondurable goods in the past months. The inflation of market services remains moderate. Moderate expansion in consumption as well as wage and staffing level adjustment in the labour market contribute to a stable low inflationary environment which in turn points to stable inflation expectations. Rise in consumer prices has however exceeded core inflation significantly. It amounted to in both Q and June. Increase in the consumer price index was mainly ascribable to goods exogenous to core inflation. Over the past months shorterterm inflation outlook has been affected not insignificantly by factors that monetary policy cannot influence e.g. by an increasingly persistent rise in oil and unprocessed food prices in particular. In the Monetary Councils judgement risks to longrun equilibrium in the Hungarian economy remain considerable. A precondition for reduction in such risks is a fiscal policy that guarantees that the envisaged tax cuts entailing significant loss in revenues are fully in keeping with the expenditure side and that fiscal consolidation to which commitment was made in the Convergence Programme is implemented. In the international financial markets especially in the CEE region willingness to take risks remains marked which currently offsets the impact of domestic fundamentals on risk perception. As a combined effect of these factors domestic exchange rate developments have been relatively stable over the past period with yields falling. The Monetary Council wishes to reiterate that monetary policy will continue to respond only to persistent trends i.e. ones that influence inflation over the medium term. Accordingly it does not intend to offset transient oneoff impacts arising from tax policy measures by monetary policy ones. The abridged minutes of the meeting are scheduled to be published at hrs on August .,7,2005
2005-08-22,Having reviewed the latest economic and financial developments the Monetary Council decided to reduce the central bank base rate by percentage points from. per cent to. per cent with effect from August. The abridged minutes of the meeting are scheduled to be published at. hours on September. The Monetary Council also discussed the August issue of the Quarterly Report on Inflation of the MNB. Simultaneously with the publication of the Report the Council is releasing its own press statement.,8,2005
2005-09-19,At its meeting on September the Monetary Council considered the latest economic and financial developments and decided to reduce the central bank base rate by basis points from to with effect from September. Consumer price inflation has been fluctuating between this year. Core inflation better reflecting underlying inflation developments and the longerterm outlook for inflation has stabilised below in recent months. A higher rate of increase in consumer prices relative to core inflation has mainly been accounted for by rises in the prices of oil and unprocessed foods. In the Councils evaluation this years low outturns for the core measure of inflation have also been explained by oneoff factors such as intensifying import competition due to Hungarys EU accession and the transformation process underway in retail trade. These shocks are unlikely to lead to a lasting reduction in inflation however higher demand and the rise in the minimum wage in are expected to increase inflationary pressure. The longerterm macroeconomic outlook continues to be surrounded by uncertainty. Although the current account deficit has fallen slightly relative to the previous year the Council does not consider the buildup in the countrys external indebtedness to be sustainable. A precondition for reducing risks to economic balance is a fiscal stance which ensures that the general government borrowing requirement falls in after taking account of the expected tax revenue shortfalls already officially announced. This factor alone implies a significant degree of fiscal adjustment which rules out any further tax cuts over the short term. The international investment climate has been benign demand for higherrisk financial assets continues to be robust. This has been a contributing factor to the Council gradually reducing the central bank base rate in line with the improving prospects for inflation. However a potential fall in global investor appetite for risk may bring the fundamental risks facing the Hungarian economy to the fore. The minutes of this Council meeting will be published at p.m. on October. At its meeting the Council also discussed the first draft of the Report on Financial Stability to be issued on October .,9,2005
2005-10-24,At its meeting on October the Monetary Council considered the latest monetary and economic developments and left the central bank base rate unchanged at. In the Councils assessment a number of factors have facilitated the development of a lowinflation environment over the recent period. Consumer prices were higher in September than a year earlier and the rate of core inflation fell below. However the Council expects a variety of factors to influence future inflation developments. Although the reduction in VAT rates will slow the annual rate of price inflation considerably in its direct effects are likely to wear off in. Different shocks are expected to affect labour costs in the near future which is likely to add to inflation uncertainty. Oil prices have remained high in recent weeks coupled with the buildup of inflationary pressure in the world economy. Nevertheless there appears to be a good chance that the inflation target will be met. The uncertainty surrounding Hungarian economic balance and the countrys convergence process has increased significantly recently. The Council has received several pieces of news which suggest the development of adverse conditions. The Government has revised upwards the deficit ratio for relevant for the adoption of the euro in Hungary. Although this upward revision itself is not expected to affect the countrys indebtedness it may have a negative influence on the markets assessment of Hungarys convergence process. It has become obvious to market participants that over the coming years the budget deficits may turn out worse than earlier expectations. The deficit target for set in the budget bill is higher than outlined in the convergence programme and moreover it involves a number of upward risks as pointed out in the latest analysis by the European Commission. The Hungarian economy has moved farther from the nominal convergence path facilitating the adoption of the euro in. The Council has stressed on previous occasions that the adoption of the euro should be given priority in the interests of longterm economic growth which in turn requires a commitment to meet the Maastricht convergence criteria at the earliest possible date. Although the Government has repeatedly confirmed its commitment to adopting the euro in the announcement has not yet been coupled with specific measures. As regards the external environment there are signs that the current favourable assessment of emerging economies may deteriorate. In the Councils view continued inflationary pressures in the world market could influence major central banks interest policy over the near term. Rises in yields in developed markets may have a negative impact on demand for emergingcountry assets which in turn may lead to an increase in yields on forintdenominated assets. The Minutes of the Councils meeting will be published at p.m. on November. At its meeting the Council also discussed the conceptual framework for the Quarterly Report on Inflation to be issued on November .,10,2005
