Date,r3m,r6m,r1y,r3y,r5y,r10y,r15y
2005_1,8.62,8.47,8.38,8.25,7.98,7.23,6.95
2005_2,7.42,7.25,7.14,7,6.9,6.62,6.56
2005_3,7.32,7.27,7.22,7.22,7.16,6.78,6.67
2005_4,7.46,7.46,7.46,7.54,7.44,7.06,6.88
2005_5,7.23,7.27,7.28,7.37,7.24,7,6.87
2005_6,6.49,6.5,6.45,6.4,6.36,6.25,6.21
2005_7,6.29,6.28,6.27,6.19,6.13,6.02,5.95
2005_8,5.76,5.75,5.73,5.6,5.56,5.52,5.5
2005_9,6,5.98,5.97,6.17,6.18,6.18,6.14
2005_10,6.2,6.3,6.43,6.72,6.75,6.73,6.59
2005_11,6.12,6.18,6.42,6.74,6.74,6.71,6.59
2005_12,5.96,6.18,6.44,6.95,6.96,6.97,6.83
2006_1,6.03,6.14,6.3,6.85,6.92,6.95,6.88
2006_2,5.91,6.04,6.25,6.79,6.81,6.8,6.66
2006_3,6.27,6.55,6.8,7.27,7.16,7.11,6.94
2006_4,6.15,6.3,6.58,6.88,6.84,6.84,6.7
2006_5,6.1,6.25,6.43,6.92,6.84,6.81,6.69
2006_6,6.82,7.2,8.13,8.55,8.39,7.94,7.51
2006_7,6.9,7.1,7.6,7.91,7.71,7.24,7.12
2006_8,7.65,7.85,7.98,8.28,7.99,7.6,7.43
2006_9,8,8.15,8.35,8.55,8.06,7.6,7.48
2006_10,8.15,8.2,8.3,8.04,7.6,7.22,7.1
2006_11,8.02,8.1,8,7.75,7.29,6.9,6.76
2006_12,7.93,7.98,7.98,7.59,7.21,6.71,6.54
2007_1,8.05,8.15,8.2,7.96,7.55,7.05,6.7
2007_2,8.05,8.1,8.17,7.81,7.46,7,6.59
2007_3,7.8,7.58,7.5,7.3,7.07,6.68,6.42
2007_4,7.65,7.48,7.35,7,6.8,6.55,6.4
2007_5,7.55,7.55,7.3,6.98,6.81,6.54,6.31
2007_6,7.35,7.45,7.18,6.88,6.75,6.63,6.45
2007_7,7.35,7.31,7.11,6.97,6.79,6.7,6.41
2007_8,7.45,7.43,7.28,7.14,6.99,6.75,6.51
2007_9,7.35,7.3,7.2,6.96,6.74,6.62,6.44
2007_10,7.25,7.19,7.07,6.93,6.74,6.56,6.43
2007_11,7.35,7.35,7.27,7.33,7.15,6.83,6.65
2007_12,7.45,7.46,7.47,7.52,7.38,7.08,6.83
2008_1,7.43,7.44,7.42,7.47,7.33,7.2,6.91
2008_2,8,8.15,8.3,8.75,8.66,8.18,7.7
2008_3,8.72,8.65,9.17,9.96,9.6,8.56,8.17
2008_4,8.38,8.55,8.95,9.08,8.82,8.1,7.85
2008_5,8.65,8.7,8.88,9.1,8.87,8.1,7.85
2008_6,8.85,8.88,9.18,9.55,9.25,8.5,8.24
2008_7,8.47,8.45,8.58,8.69,8.41,7.81,7.57
2008_8,8.48,8.6,8.57,8.8,8.52,7.93,7.6
2008_9,8.85,8.98,9.1,9.66,9.27,8.17,7.95
2008_10,11.62,11.66,11.8,12.66,12.02,9.79,8.39
2008_11,10.75,10.75,10.66,11.05,10.94,8.86,8.13
2008_12,9.03,8.96,8.95,9.57,9.43,8.28,7.7
2009_1,9.38,9.28,9.42,10.52,10.49,9.66,9.33
