date_match,log_total,log_in_year,log_out_year,log_short_term,log_medium_term,log_long_term,total_resc,in_year_resc,out_year_resc,short_term_resc,medium_term_resc,long_term_resc,r3m,r6m,r1y,r3y,r5y,r10y,r15y
2005-01,-0.44504591731426885,-0.30799612814344496,-0.549176207679741,-0.30799612814344496,-0.39657957344443023,-0.6549548566733352,0.6407948517781916,0.7349181635012688,0.5774252930260391,0.7349181635012688,0.6726167521399476,0.5194655124590616,8.62,8.47,8.38,8.25,7.98,7.23,6.95
2005-02,-0.5939283704005035,-0.46000692655725317,-0.6961818501540634,-0.46000692655725317,-0.5641413506818479,-0.7866770628404767,0.5521539534570153,0.6312792728997559,0.4984849651806816,0.6312792728997559,0.5688483783899009,0.455355401451945,7.42,7.25,7.14,7,6.9,6.62,6.56
2005-03,-0.5744717402024905,-0.46546427270433416,-0.6660310769036011,-0.46546427270433416,-0.5421334370573262,-0.7511087953808124,0.5630022016946004,0.6278435468921839,0.5137435454232789,0.6278435468921839,0.5815063209196364,0.4718430851521379,7.32,7.27,7.22,7.22,7.16,6.78,6.67
2005-04,-0.5350102114996577,-0.4432100350895419,-0.6194185229506436,-0.4432100350895419,-0.502640832909304,-0.6997787968285554,0.5856633096135732,0.6419723562052634,0.5382573309002866,0.6419723562052634,0.6049310266973703,0.4966951621855656,7.46,7.46,7.46,7.54,7.44,7.06,6.88
2005-05,-0.5570321779621495,-0.4716337878734229,-0.6387064223343178,-0.4716337878734229,-0.5270263178616021,-0.7154621856710351,0.5729068287826635,0.6239819808494879,0.5279749591069551,0.6239819808494879,0.5903578987985361,0.488966066453359,7.23,7.27,7.28,7.37,7.24,7,6.87
2005-06,-0.6970981059525381,-0.5810404506435956,-0.7913968660024273,-0.5810404506435956,-0.6632085380346303,-0.8789240381555432,0.4980284346222071,0.5593161228999842,0.453211277490192,0.5593161228999842,0.5151956549025963,0.41522944245023935,6.49,6.5,6.45,6.4,6.36,6.25,6.21
2005-07,-0.7403931843000324,-0.6137252433461983,-0.8392884898014105,-0.6137252433461983,-0.6953278057166515,-0.9377888542646715,0.47692635869474054,0.5413305203465949,0.43201779917128696,0.5413305203465949,0.49891087533954065,0.3914925260570486,6.29,6.28,6.27,6.19,6.13,6.02,5.95
2005-08,-0.8503322390745818,-0.7013118931422804,-0.9589456422311082,-0.7013118931422804,-0.7945860640198346,-1.0717773504472081,0.4272729515942904,0.4959342640774498,0.3832968049642366,0.4959342640774498,0.45176819933667367,0.3423994125336418,5.76,5.75,5.73,5.6,5.56,5.52,5.5
2005-09,-0.7477895471784427,-0.6615252793756731,-0.8293681915199469,-0.6615252793756731,-0.7217713894009365,-0.9028341390601733,0.473411851586602,0.5160635927267656,0.43632487300819,0.5160635927267656,0.4858907913927441,0.4054190160994878,6,5.98,5.97,6.17,6.18,6.18,6.14
2005-10,-0.6609697085486896,-0.6192949038786261,-0.7249463337582346,-0.6192949038786261,-0.6385112657448098,-0.7848396215240789,0.5163503822623259,0.5383238738849454,0.48435056153222866,0.5383238738849454,0.5280780069542262,0.4561928594345485,6.2,6.3,6.43,6.72,6.75,6.73,6.59
2005-11,-0.6660549236566967,-0.6353279366144832,-0.725860090252985,-0.6353279366144832,-0.6376588174633961,-0.7868998970760953,0.5137312944538702,0.5297617315597938,0.4839081852037944,0.5297617315597938,0.5285283580669514,0.4552539439836461,6.12,6.18,6.42,6.74,6.74,6.71,6.59
2005-12,-0.6416952962227263,-0.6483713469995682,-0.6876127346519691,-0.6483713469995682,-0.6192918254153754,-0.7361106329975595,0.5263992644872207,0.5228967009237055,0.5027748946231481,0.5228967009237055,0.5383255310977589,0.47897320001653987,5.96,6.18,6.44,6.95,6.96,6.97,6.83
2006-01,-0.6462566985141186,-0.6459005303460583,-0.6945945589411022,-0.6459005303460583,-0.6379589973191021,-0.7357768385095763,0.5240036135934755,0.5241902802409717,0.49927683428288094,0.5241902802409717,0.5283697283106102,0.4791331053168663,6.03,6.14,6.3,6.85,6.92,6.95,6.88
2006-02,-0.6691335280263465,-0.6640412575270137,-0.7192883712677463,-0.6640412575270137,-0.6466933526938646,-0.7704520832418212,0.5121521510720307,0.5147668200127339,0.4870987661294752,0.5147668200127339,0.5237748551731928,0.46280379517030457,5.91,6.04,6.25,6.79,6.81,6.8,6.66
2006-03,-0.5993792197526551,-0.5941818073211798,-0.6497765635958701,-0.5941818073211798,-0.5680735512647579,-0.7068631141221954,0.549152433286365,0.5520140349903135,0.5221624338243988,0.5520140349903135,0.5666159445301987,0.49318885063462603,6.27,6.55,6.8,7.27,7.16,7.11,6.94
2006-04,-0.645328001120309,-0.6232880449256849,-0.7019045548550442,-0.6232880449256849,-0.6143234604707469,-0.7625675611082583,0.5244904804247525,0.5361785568548901,0.4956404299078152,0.5361785568548901,0.54100678400125,0.46646720507688766,6.15,6.3,6.58,6.88,6.84,6.84,6.7
2006-05,-0.6511473481238609,-0.6313075061715514,-0.7068492818583784,-0.6313075061715514,-0.6224346776748173,-0.7655479198565055,0.5214471519996478,0.5318958889939316,0.49319567260010116,0.5318958889939316,0.5366363093636483,0.46507903511125614,6.1,6.25,6.43,6.92,6.84,6.81,6.69
2006-06,-0.4552605398083199,-0.5051782054798488,-0.48672156437444464,-0.5051782054798488,-0.3925725685573038,-0.5524659304802735,0.6342826905278787,0.6033980370086325,0.6146381462782504,0.6033980370086325,0.6753173377694408,0.5755288449784816,6.82,7.2,8.13,8.55,8.39,7.94,7.51
2006-07,-0.5237403678028326,-0.506574871882887,-0.5789531427849364,-0.506574871882887,-0.4677014060268919,-0.6557389365135833,0.592300976049833,0.6025558794861403,0.5604848071163472,0.6025558794861403,0.6264405471060055,0.5190583696601273,6.9,7.1,7.6,7.91,7.71,7.24,7.12
2006-08,-0.4562207509610869,-0.4052713326613463,-0.5242990580677145,-0.4052713326613463,-0.4190345335123306,-0.597115440089625,0.6336739375269099,0.6667958628149951,0.5919701556822984,0.6667958628149951,0.6576814828240523,0.5503970015794346,7.65,7.85,7.98,8.28,7.99,7.6,7.43
2006-09,-0.43015907036273104,-0.3643656359949259,-0.5042447300862435,-0.3643656359949259,-0.37944977174953554,-0.5902980986639649,0.6504056262352622,0.6946371639537858,0.603961557203928,0.6946371639537858,0.6842377926180024,0.5541620651386223,8,8.15,8.35,8.55,8.06,7.6,7.48
2006-10,-0.46774509383094137,-0.35209903311556506,-0.5624619352738834,-0.35209903311556506,-0.4149296765103351,-0.6641832412721199,0.626413179891946,0.7032104774033631,0.5698045137708834,0.7032104774033631,0.6603867197707478,0.5146937366802175,8.15,8.2,8.3,8.04,7.6,7.22,7.1
2006-11,-0.5090037559108332,-0.36620887536520264,-0.6155627226763476,-0.36620887536520264,-0.45285093001884225,-0.7282344036848035,0.6010941170788293,0.6933579606862192,0.5403367500005221,0.6933579606862192,0.6358129071803861,0.4827605984043878,8.02,8.1,8,7.75,7.29,6.9,6.76
2006-12,-0.530636202589499,-0.379261303496792,-0.6411354221274254,-0.379261303496792,-0.4649678214074062,-0.763813059602256,0.5882306167672263,0.6843667618721615,0.5266940643168859,0.6843667618721615,0.628155318018493,0.4658865825327756,7.93,7.98,7.98,7.59,7.21,6.71,6.54
2007-01,-0.4915278776608576,-0.3612819627704792,-0.5927077027036202,-0.3612819627704792,-0.426318073457498,-0.7083489588771331,0.6116910906988893,0.6967825040408574,0.5528283614820114,0.6967825040408574,0.652908636182213,0.49245659271323194,8.05,8.15,8.2,7.96,7.55,7.05,6.7
2007-02,-0.5027076967792843,-0.36435411812773477,-0.6074579435758843,-0.36435411812773477,-0.4380810396937233,-0.7252590522686424,0.6048905800200799,0.6946451647384622,0.5447338547107965,0.6946451647384622,0.6452734879725094,0.4841991198266576,8.05,8.1,8.17,7.81,7.46,7,6.59
2007-03,-0.564504789250216,-0.4129578291401013,-0.6748647261194267,-0.4129578291401013,-0.5170399771624237,-0.7839726260414351,0.5686416745139959,0.66169018628363,0.509225300831126,0.66169018628363,0.5962829494571119,0.4565885480882443,7.8,7.58,7.5,7.3,7.07,6.68,6.42
2007-04,-0.5900426185702025,-0.42927707577520663,-0.7044632371544667,-0.42927707577520663,-0.549283482752584,-0.8113445848309793,0.5543036606016244,0.6509795335316575,0.494373864573085,0.6509795335316575,0.5773633530080376,0.4442603187662965,7.65,7.48,7.35,7,6.8,6.55,6.4
2007-05,-0.5951994754674507,-0.43127357979207764,-0.7110901519046791,-0.43127357979207764,-0.5542897470306134,-0.8192249343500723,0.5514525536399101,0.6496811468264807,0.4911085226391933,0.6496811468264807,0.5744801425569204,0.4407731502762728,7.55,7.55,7.3,6.98,6.81,6.54,6.31
2007-06,-0.6001162112092951,-0.45126010841748515,-0.709020276289974,-0.45126010841748515,-0.5703362916194604,-0.8040450844642376,0.5487478617358401,0.636825177044453,0.49212610896963266,0.636825177044453,0.5653352892085429,0.4475150616728002,7.35,7.45,7.18,6.88,6.75,6.63,6.45
