date,r3m,r6m,r1y,r3y,r5y,r10y,r15y,total,in_year,out_year,short_term,medium_term,long_term
2005_1,8.6199999,8.4700003,8.3800001,8.25,7.98,7.23,6.9499998,2.4099262,1.7344198,1.7497334,1.7344198,1.4559247,1.0696026
2005_2,7.4200001,7.25,7.1399999,7,6.9000001,6.6199999,6.5599999,1.4901879,1.1985863,1.0017309,1.1985863,.89477128,.56317687
2005_3,7.3200002,7.27,7.2199998,7.2199998,7.1599998,6.7800002,6.6700001,1.6027493,1.1808231,1.1463143,1.1808231,.96322221,.69341832
2005_4,7.46,7.46,7.46,7.54,7.4400001,7.0599999,6.8800001,1.8378811,1.2538717,1.3785957,1.2538717,1.0898973,.88973254
2005_5,7.23,7.27,7.2800002,7.3699999,7.2399998,7,6.8699999,1.7055197,1.1608579,1.2811645,1.1608579,1.0110894,.82867789
2005_6,6.4899998,6.5,6.4499998,6.4000001,6.3600001,6.25,6.21,.9285813,.82652271,.57273811,.82652271,.60463083,.24620955
2005_7,6.29,6.2800002,6.27,6.1900001,6.1300001,6.02,5.9499998,.70962608,.73353374,.37191835,.73353374,.51656681,.058704201
2005_8,5.7600002,5.75,5.73,5.5999999,5.5599999,5.52,5.5,.19442216,.49882621,-.089739554,.49882621,.26163098,-.32909754
2005_9,6,5.98,5.9699998,6.1700001,6.1799998,6.1799998,6.1399999,.67315942,.60289872,.41273013,.60289872,.44615743,.16871379
2005_10,6.1999998,6.3000002,6.4299998,6.7199998,6.75,6.73,6.5900002,1.1186899,.71798873,.86779976,.71798873,.67429525,.56979233
2005_11,6.1199999,6.1799998,6.4200001,6.7399998,6.7399998,6.71,6.5900002,1.0915142,.67372072,.86360794,.67372072,.67673069,.56237549
2005_12,5.96,6.1799998,6.4400001,6.9499998,6.96,6.9699998,6.8299999,1.222957,.63822722,1.0423802,.63822722,.72971141,.7497412
2006_1,6.0300002,6.1399999,6.3000002,6.8499999,6.9200001,6.9499998,6.8800001,1.1981,.64491528,1.0092343,.64491528,.67587292,.75100434
2006_2,5.9099998,6.04,6.25,6.79,6.8099999,6.8000002,6.6599998,1.0751289,.59619409,.89384043,.59619409,.651025,.62201411
2006_3,6.27,6.5500002,6.8000002,7.27,7.1599998,7.1100001,6.9400001,1.4590442,.7887696,1.2260878,.7887696,.88269889,.8620351
2006_4,6.1500001,6.3000002,6.5799999,6.8800001,6.8400002,6.8400002,6.6999998,1.2031516,.70689708,.9747774,.70689708,.74421096,.65095258
2006_5,6.0999999,6.25,6.4299998,6.9200001,6.8400002,6.8099999,6.6900001,1.171574,.68475473,.951612,.68475473,.72057652,.63998693
2006_6,6.8200002,7.1999998,8.1300001,8.5500002,8.3900003,7.9400001,7.5100002,2.342356,1.0544349,2.1023457,1.0544349,1.4705288,1.5124644
2006_7,6.9000001,7.0999999,7.5999999,7.9099998,7.71,7.2399998,7.1199999,1.9067534,1.0500808,1.589213,1.0500808,1.2062154,1.0663863
2006_8,7.6500001,7.8499999,7.98,8.2799997,7.9899998,7.5999999,7.4299998,2.3360393,1.3822141,1.8875538,1.3822141,1.3751584,1.3139399
2006_9,8,8.1499996,8.3500004,8.5500002,8.0600004,7.5999999,7.48,2.5096478,1.526159,2.001179,1.526159,1.5187685,1.3436815
2006_10,8.1499996,8.1999998,8.3000002,8.04,7.5999999,7.2199998,7.0999999,2.2607019,1.5704846,1.6775224,1.5704846,1.3897878,1.0319088
2006_11,8.0200005,8.1000004,8,7.75,7.29,6.9000001,6.7600002,1.9979913,1.5195456,1.3982995,1.5195456,1.2568988,.77965921
2006_12,7.9299998,7.98,7.98,7.5900002,7.21,6.71,6.54,1.8645195,1.4730591,1.2690275,1.4730591,1.2154884,.646366
2007_1,8.0500002,8.1499996,8.1999998,7.96,7.5500002,7.0500002,6.6999998,2.1079454,1.5372508,1.5166641,1.5372508,1.3493482,.85625076
2007_2,8.0500002,8.1000004,8.1700001,7.8099999,7.46,7,6.5900002,2.0373833,1.5262005,1.4399643,1.5262005,1.3080592,.79102248
2007_3,7.8000002,7.5799999,7.5,7.3000002,7.0700002,6.6799998,6.4200001,1.6612645,1.3558167,1.1035014,1.3558167,1.0431306,.57291794
2007_4,7.6500001,7.48,7.3499999,7,6.8000002,6.5500002,6.4000001,1.5124934,1.3004405,.96277612,1.3004405,.94081819,.47553355
2007_5,7.5500002,7.5500002,7.3000002,6.98,6.8099999,6.54,6.3099999,1.4829102,1.2937278,.93183511,1.2937278,.92522657,.44798717
2007_6,7.3499999,7.4499998,7.1799998,6.8800001,6.75,6.6300001,6.4499998,1.4548461,1.2272598,.94147724,1.2272598,.87577343,.50124359
2007_7,7.3499999,7.3099999,7.1100001,6.9699998,6.79,6.6999998,6.4099998,1.4512969,1.1963184,.95691663,1.1963184,.88125098,.51625669
2007_8,7.4499998,7.4299998,7.2800002,7.1399999,6.9899998,6.75,6.5100002,1.5744002,1.245023,1.0716496,1.245023,.95786607,.6016531
2007_9,7.3499999,7.3000002,7.1999998,6.96,6.7399998,6.6199999,6.4400001,1.4444337,1.1941084,.94999188,1.1941084,.89867127,.49348244
2007_10,7.25,7.1900001,7.0700002,6.9299998,6.7399998,6.5599999,6.4299998,1.388267,1.1476138,.91309291,1.1476138,.86322391,.47455075
2007_11,7.3499999,7.3499999,7.27,7.3299999,7.1500001,6.8299999,6.6500001,1.6387854,1.2051588,1.1733981,1.2051588,.99964052,.69858944
2007_12,7.4499998,7.46,7.4699998,7.52,7.3800001,7.0799999,6.8299999,1.8208233,1.2516533,1.3597025,1.2516533,1.0874618,.86740792
2008_1,7.4299998,7.4400001,7.4200001,7.4699998,7.3299999,7.1999998,6.9099998,1.8330514,1.2427964,1.3803157,1.2427964,1.0649279,.91273838
2008_2,8,8.1499996,8.3000002,8.75,8.6599998,8.1800003,7.6999998,2.7550173,1.526159,2.2928634,1.526159,1.5540861,1.6900517
2008_3,8.7200003,8.6499996,9.1700001,9.96,9.6000004,8.5600004,8.1700001,3.4404213,1.7963849,2.9321971,1.7963849,2.024853,2.1299167
2008_4,8.3800001,8.5500002,8.9499998,9.0799999,8.8199997,8.1000004,7.8499999,3.0024605,1.6988602,2.4752061,1.6988602,1.772976,1.7475026
2008_5,8.6499996,8.6999998,8.8800001,9.1000004,8.8699999,8.1000004,7.8499999,3.0533993,1.7919068,2.4768088,1.7919068,1.7622553,1.7580333
2008_6,8.8500004,8.8800001,9.1800003,9.5500002,9.25,8.5,8.2399998,3.387068,1.8760558,2.8191309,1.8760558,1.9321693,2.0612669
2008_7,8.4700003,8.4499998,8.5799999,8.6899996,8.4099998,7.8099999,7.5700002,2.7477779,1.6967243,2.175112,1.6967243,1.6015974,1.5001553
2008_8,8.4799995,8.6000004,8.5699997,8.8000002,8.5200005,7.9299998,7.5999999,2.8211219,1.732094,2.2397037,1.732094,1.6248595,1.5641859
2008_9,8.8500004,8.9799995,9.1000004,9.6599998,9.2700005,8.1700001,7.9499998,3.2933276,1.8981566,2.6930056,1.8981566,1.9400822,1.8908632
2008_10,11.62,11.66,11.8,12.66,12.02,9.79,8.3900003,5.3795114,3.1049447,4.3942776,3.1049447,3.2263315,3.0322015
2008_11,10.75,10.75,10.66,11.05,10.94,8.8599997,8.1300001,4.4719896,2.7108297,3.5711224,2.7108297,2.6037991,2.4798009
2008_12,9.0299997,8.96,8.9499998,9.5699997,9.4300003,8.2799997,7.6999998,3.2766275,1.9336667,2.6506419,1.9336667,1.8863649,1.8787781
2009_1,9.3800001,9.2799997,9.4200001,10.52,10.49,9.6599998,9.3299999,4.2297149,2.082032,3.6894348,2.082032,2.2092581,2.9574108
2009_2,10.35,10.75,11.32,12.79,11.97,10.85,10.05,5.5764928,2.6220958,4.9396076,2.6220958,3.1511643,3.8010807
2009_3,9.9200001,10.15,11.05,12.98,12.98,12.25,11.65,6.1370401,2.3941009,5.7538586,2.3941009,3.1359282,4.8654938
2009_4,9.4200001,9.3500004,10.02,10.39,10.45,10.26,10.13,4.5488377,2.1063762,4.0536585,2.1063762,2.3107378,3.3482795
2009_5,9.25,9.25,9.3800001,10.03,10.05,9.9700003,9.8000002,4.227138,2.0465631,3.7110662,2.0465631,2.0870981,3.0880401
2009_6,9.25,9.25,9.2799997,9.75,9.7600002,9.7399998,9.6400003,4.0693588,2.0465631,3.5240335,2.0465631,2.0003774,2.9178946
2009_7,8.1800003,8.25,8.0500002,8.5100002,8.5299997,8.5299997,8.21,2.8689768,1.5881904,2.3911645,1.5881904,1.443731,1.9085913
2009_8,7.6500001,7.6500001,7.6700001,8.0600004,8.1499996,8.1400003,8.1400003,2.5004468,1.3380122,2.1136277,1.3380122,1.2562754,1.7040026
2009_9,6.7800002,6.8200002,6.75,7.1799998,7.4099998,7.6300001,7.6500001,1.7953601,.96157801,1.5177481,.96157801,.85090876,1.2657423
